,carros,price,link,vehicle_info
24,Mazda 2 Sedan Grand Touring Lx,86000000,https://carro.mercadolibre.com.co/MCO-1381042789-mazda-2-sedan-_JM#position=25&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2023', 'Kilometrage': '5030 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Puente Aranda - Puente Aranda - Bogotá D.C.', 'Pub Number': '1381042789', 'Created At': '2024-01-13 18:10:14'}"
25,Nissan Versa 1.6 Advance Lujo,59800000,https://carro.mercadolibre.com.co/MCO-2149701050-nissan-versa-16-advance-lujo-_JM#position=26&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2020', 'Kilometrage': '31360 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'La Calleja - Usaquén - Bogotá D.C.', 'Pub Number': '2149701050', 'Created At': '2024-01-13 18:10:15'}"
26,Renault Stepway 1.6 Intens Automatica,64000000,https://carro.mercadolibre.com.co/MCO-2149598414-renault-stepway-16-intens-_JM#position=27&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '15700 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '2149598414', 'Created At': '2024-01-13 18:10:16'}"
27,Hyundai I10 Sport,27500000,https://carro.mercadolibre.com.co/MCO-2149737788-hyundai-i10-gl-sport-2012-_JM#position=28&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2012', 'Kilometrage': '85471 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Castilla - Kennedy - Bogotá D.C.', 'Pub Number': '2149737788', 'Created At': '2024-01-13 18:10:16'}"
28,Chevrolet Onix 1.0 Turbo Hatch Back Premier,68800000,https://carro.mercadolibre.com.co/MCO-2149660312-chevrolet-onix-_JM#position=29&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '18250 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Villanova II - Suba - Bogotá D.C.', 'Pub Number': '2149660312', 'Created At': '2024-01-13 18:10:17'}"
29,Kia Cerato Geo Lx,45000000,https://carro.mercadolibre.com.co/MCO-2149608258-kia-cerato-geo-lx-2015-_JM#position=30&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2015', 'Kilometrage': '62330 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Villas del Río - Bosa - Bogotá D.C.', 'Pub Number': '2149608258', 'Created At': '2024-01-13 18:10:18'}"
30,Hyundai Tucson Ix-35 2.0l,75000000,https://carro.mercadolibre.com.co/MCO-2149710550-hyundai-tucson-ix35-gl-_JM#position=31&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2016', 'Kilometrage': '38561 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Jerusalén - Ciudad Bolívar - Bogotá D.C.', 'Pub Number': '2149710550', 'Created At': '2024-01-13 18:10:18'}"
31,Toyota Corolla 1.8 Se-g,79000000,https://carro.mercadolibre.com.co/MCO-1381039309-toyota-corolla-18-se-g-2019-_JM#position=32&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2019', 'Kilometrage': '49000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Escobero - Envigado - Antioquia', 'Pub Number': '1381039309', 'Created At': '2024-01-13 18:10:19'}"
32,Renault Kangoo 1.6 Express,62000000,https://carro.mercadolibre.com.co/MCO-1381039111-renault-kangoo-16-express-_JM#position=33&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '48500 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Andes Norte - Suba - Bogotá D.C.', 'Pub Number': '1381039111', 'Created At': '2024-01-13 18:10:20'}"
33,Toyota Prado 3.0 Vx Fl,345000000,https://carro.mercadolibre.com.co/MCO-1381038919-toyota-prado-30-vx-fl-2020-_JM#position=34&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2020', 'Kilometrage': '24200 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '1381038919', 'Created At': '2024-01-13 18:10:20'}"
34,Kia Rio Zenith,60000000,https://carro.mercadolibre.com.co/MCO-2149594144-kia-rio-zenith-2018-_JM#position=35&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2018', 'Kilometrage': '39800 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Castilla - Kennedy - Bogotá D.C.', 'Pub Number': '2149594144', 'Created At': '2024-01-13 18:10:21'}"
35,Hyundai Tucson 2.0 Gl Premium,94500000,https://carro.mercadolibre.com.co/MCO-2149669684-hyundai-new-tucson-_JM#position=36&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2019', 'Kilometrage': '28500 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Colina Campestre I y II Etapa - Suba - Bogotá D.C.', 'Pub Number': '2149669684', 'Created At': '2024-01-13 18:10:22'}"
36,Volkswagen Jetta Europa,38000000,https://carro.mercadolibre.com.co/MCO-1381036115-volkswagen-jetta-europa-2013-_JM#position=37&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2013', 'Kilometrage': '40800 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Normandía - Engativa - Bogotá D.C.', 'Pub Number': '1381036115', 'Created At': '2024-01-13 18:10:23'}"
37,Mercedes-benz Clase Cla 180 At 1.4,80500000,https://carro.mercadolibre.com.co/MCO-1380978823-mercedes-benz-clase-cla-180-_JM#position=38&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2016', 'Kilometrage': '51000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'La Calleja - Usaquén - Bogotá D.C.', 'Pub Number': '1380978823', 'Created At': '2024-01-13 18:10:23'}"
38,Hyundai Tucson 2.0 Gl 4x4,42300000,https://carro.mercadolibre.com.co/MCO-1380951895-hyundai-tucson-gl-_JM#position=39&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2010', 'Kilometrage': '117000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Britalita - Kennedy - Bogotá D.C.', 'Pub Number': '1380951895', 'Created At': '2024-01-13 18:10:24'}"
39,Ford Escape 2.0 Titanium 245 Hp,81000000,https://carro.mercadolibre.com.co/MCO-1380977049-ford-escape-_JM#position=40&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2017', 'Kilometrage': '51000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Murillo Toro - Rafael Uribe Uribe - Bogotá D.C.', 'Pub Number': '1380977049', 'Created At': '2024-01-13 18:10:25'}"
40,Bmw X3 2.0 G01 Xdrive30i,178000000,https://carro.mercadolibre.com.co/MCO-1380976467-bmw-x3-xdrive30i-_JM#position=41&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2021', 'Kilometrage': '29500 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Salitre - Teusaquillo - Bogotá D.C.', 'Pub Number': '1380976467', 'Created At': '2024-01-13 18:10:25'}"
41,Chevrolet Tracker 1.2 Ltz,81990000,https://carro.mercadolibre.com.co/MCO-1381026867-chevrolet-tracker-12-ltz-_JM#position=42&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2021', 'Kilometrage': '8000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '1381026867', 'Created At': '2024-01-13 18:10:26'}"
42,Toyota Prado 3.0 Tx-l,191500000,https://carro.mercadolibre.com.co/MCO-2149434458-toyota-prado-tx-l-_JM#position=43&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2014', 'Kilometrage': '86543 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'María Paz - Kennedy - Bogotá D.C.', 'Pub Number': '2149434458', 'Created At': '2024-01-13 18:10:27'}"
43,Land Rover Range Rover 2.0 Evoque Pure Si4,100500000,https://carro.mercadolibre.com.co/MCO-1380998445-land-rover-range-rover-evoque-_JM#position=44&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2013', 'Kilometrage': '69640 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Colina Campestre I y II Etapa - Suba - Bogotá D.C.', 'Pub Number': '1380998445', 'Created At': '2024-01-13 18:10:28'}"
44,Ford Fiesta 1.6 Titanium Mt,52500000,https://carro.mercadolibre.com.co/MCO-1381010801-ford-fiesta-titanium-_JM#position=45&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2018', 'Kilometrage': '72500 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Santa Teresa - Usaquén - Bogotá D.C.', 'Pub Number': '1381010801', 'Created At': '2024-01-13 18:10:29'}"
45,Toyota Hilux 2.8l,255000000,https://carro.mercadolibre.com.co/MCO-1380984837-toyota-hilux-28-euro-iv-_JM#position=46&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2023', 'Kilometrage': '6000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '1380984837', 'Created At': '2024-01-13 18:10:29'}"
46,Renault Twingo 1.2 Access,21000000,https://carro.mercadolibre.com.co/MCO-1381010321-renault-twingo-12-access-_JM#position=47&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2010', 'Kilometrage': '144000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Lagos de Córdoba - Suba - Bogotá D.C.', 'Pub Number': '1381010321', 'Created At': '2024-01-13 18:10:30'}"
47,Ford Edge 3.5 Limited Fl,58000000,https://carro.mercadolibre.com.co/MCO-1380958205-ford-edge-limited-_JM#position=48&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2013', 'Kilometrage': '70600 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Castilla - Kennedy - Bogotá D.C.', 'Pub Number': '1380958205', 'Created At': '2024-01-13 18:10:30'}"
